Time,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
P10,224.2389961,91.90044279,100.2285183,91.55441059,114.5099724,122.8634243,109.1598293,90.54960104,88.589513,88.88466192,92.77242073,124.7126354,102.4152061,90.36313328,106.6553051,97.9289702,115.0373582,93.81072823,82.84042947,109.281258,79.57075203,79.24151236,85.89603183,75.03550132,86.08245386,79.78615688,79.09857809,95.06718043,112.2476368,89.67738205,72.79894664,80.08360197,77.76984142,90.426638,80.30008951,99.28571459,87.42059389,91.82935458,99.19819455,123.4142083,130.1048091,94.87948509,109.803784,104.1430096,91.89797356,116.5375603,105.2194258,101.7549423,100.18933,111.1110318,107.2103483,85.32853918,124.8621745,98.59823905,125.8476648,127.0211298,108.263105,142.5576495,124.7079957,101.1115904,109.844744,117.7979297,113.497065,159.6438762,128.6443911,156.6535648,132.0505873,104.6797857,98.73258815,113.7103539,181.360302,96.80759992,117.0916341,97.84029203,110.3026853
P13,108.5063417,189.9475515,211.5686368,111.376824,98.83374828,95.24061725,112.1637245,92.32327346,98.69043265,98.01137805,100.0019809,129.047354,102.3473102,93.75224904,100.3296432,87.48423978,88.1034722,77.98650009,74.60231685,90.99313767,81.23640408,76.28630618,100.6075392,69.98206604,69.71769867,80.46101087,79.65771428,71.00686496,128.0834923,81.65017121,84.10091309,99.41555094,89.75324405,85.89407646,76.3777843,102.2128212,89.25234181,64.14862608,94.81979298,111.4090192,100.3609541,93.25845208,114.9632488,89.65637287,87.7763618,75.67139696,75.80144786,73.23713118,94.9223783,99.51767785,92.54479527,102.2475454,136.5853325,130.9306386,144.5525345,152.9322442,65.30994421,206.2392689,285.0149118,270.8216203,460.8737998,461.0273023,509.8500999,665.3830655,512.4470243,333.8817855,435.982106,375.868187,170.4965134,184.6439778,200.4526086,121.9565593,102.7062015,120.295806,125.4807331
P16,66.6720747,74.96860951,84.17893512,78.28929366,82.90790728,86.8495632,88.62484771,100.4134646,106.9208645,86.29318639,85.60386909,109.2664816,108.8467991,111.3626889,124.0692091,101.3657541,118.943692,111.1466729,103.1722573,93.53832338,88.44971887,100.5756922,94.50965001,88.34739844,97.04516466,139.5928869,137.2573154,99.76210893,131.5854547,99.44011552,92.10381971,121.8369927,103.8266847,104.2109477,94.6159675,110.8828137,96.87580025,82.06590796,87.96706873,100.1135266,104.0429221,103.5664385,110.7808639,89.57307807,119.7372661,87.13948878,72.0476603,72.87853445,79.07407515,72.21404899,76.98270761,86.38113369,77.78542807,67.6013339,68.5354838,90.28353581,70.89898265,70.22909725,94.1446122,83.00136174,90.17571052,80.48434467,85.27158678,110.1366759,97.4626272,84.44583087,92.5880198,85.03651501,80.70909634,79.99491242,91.70609024,79.32751165,68.90398035,78.63924373,79.55617517
P19,95.70865785,105.2521143,106.8643518,83.14757261,90.74133933,85.10106132,99.48853914,99.68141485,107.751158,79.80566061,96.64729968,102.5106482,86.19812287,91.68377923,85.09829135,86.26355514,88.61560311,84.67056103,98.06837129,119.6782508,92.12592206,99.50039056,99.6278851,96.74552452,98.29205549,119.6706923,119.3264511,122.8087306,128.2813311,130.6446646,115.1401836,103.9555423,166.0713471,134.6797773,128.191206,138.7059841,140.1782692,123.8954747,141.639205,150.2154974,124.3414293,114.6933153,98.46193384,103.3503582,94.91754865,106.9186943,104.9688116,97.57406038,101.2399672,91.50897373,90.38524892,92.70737763,101.3274455,90.5218421,104.4393643,108.8494913,101.2659441,103.999239,117.3934417,98.28759319,98.37717816,94.46326659,103.4253479,157.8119339,123.9494873,122.234068,121.4939789,122.6788864,118.2428327,120.7451969,123.171036,134.3494468,115.2068754,117.9521355,106.6142862
T10,125.963074,107.5252436,87.85255062,136.4880043,97.68376428,120.5112315,95.39668488,93.51078756,96.80954548,102.5694568,95.6982701,93.57019794,88.53251618,89.50575879,112.3451545,139.2274956,111.9708647,89.80222891,102.7403308,116.7197055,89.49858211,86.40092652,101.9142166,80.10723875,84.81734586,81.98017646,77.59592552,95.66703928,98.9628374,98.63284547,186.8011327,150.5626394,374.5769017,198.915803,167.5381272,479.6885343,186.1806992,210.1068309,325.9223877,198.5713996,190.4488387,295.9135718,182.2365236,198.2067728,260.8614146,105.6252295,124.0575263,107.6970972,134.0010718,118.7149867,123.7123044,105.2777985,128.6421686,105.1356517,97.91892256,120.1413023,118.0660133,147.3125958,122.7590752,116.5725978,138.6560327,123.5408349,144.7336685,129.9347117,122.602835,126.9800222,127.9661493,119.9952184,144.1207931,132.5641228,125.6078477,115.5897159,129.2088849,109.9503936,131.3692896
T13,145.2977315,100.2849323,106.3147672,118.2756468,105.4021677,100.9034134,103.2475016,130.9110606,90.39842148,127.2372156,98.19866146,109.6828266,101.891522,102.1310819,99.08056458,104.6877672,99.92230804,89.59975689,84.80912237,78.5214547,83.73846697,99.7014125,92.13320988,89.06681128,76.58876819,85.3579138,104.2941492,89.05343509,89.9788358,93.28907353,110.990368,102.1696466,121.5306821,122.844505,111.2098339,129.1369653,109.3724869,108.349384,160.2526456,137.0788412,120.1798878,156.1380243,124.2618907,118.2421804,141.0930913,106.4558133,119.1131293,106.4527348,97.75782128,107.3717848,92.89283128,118.8969603,127.6718493,122.851005,119.4363681,152.6005809,110.2913023,108.29008,105.7281062,90.705726,97.57907599,92.32914771,109.3380285,103.7392987,73.64040561,98.72895962,123.355686,90.20298638,101.5903862,107.0663623,96.51184148,88.99003588,89.44683098,84.90263523,102.9779247
T16,72.23757449,110.2940799,94.79407878,90.75827413,113.9812907,107.7282765,103.2425912,117.8399209,92.62217425,87.67439694,104.8306083,94.3488182,88.8021066,89.77283465,118.3191374,94.01110563,104.8316471,106.7736032,104.1746149,118.4348462,95.47564231,103.6577383,104.9757322,106.3322793,101.441561,90.67398255,92.68747549,99.06415963,92.10190425,98.11754512,105.4274368,110.1261922,139.7653095,121.6316818,127.3307321,148.8799124,106.6086355,116.8437911,133.5263276,121.2378927,120.6874047,133.1444915,119.299018,117.9110439,155.4591947,113.7939079,112.6361971,107.8964741,117.8949667,113.9633834,98.32611145,94.81067544,103.6118287,99.83309633,87.4226465,105.8744418,89.34665277,111.0031464,102.1934342,96.9029699,105.5779947,97.08397827,121.6545436,103.8741418,102.4599182,112.9081116,120.8966932,121.7849896,93.12806287,111.263111,103.5261641,92.31016109,108.108127,99.3562185,123.1132283
T19,100.0499736,108.7810274,107.1642085,89.01840531,88.96355262,78.31045097,103.5537904,118.3671854,100.3001154,95.81593806,101.9166196,107.4314643,76.91830715,101.817053,105.0033954,111.5501959,141.8860114,91.30520273,106.4571302,91.54343261,90.29271639,94.27284663,121.2113871,100.8026321,98.72900043,104.5304506,84.53128649,89.02034231,105.4277091,85.02816877,99.97343428,113.4757576,143.1071738,135.5057289,103.2375788,136.5784628,106.917276,105.4952184,139.8164175,101.4359312,145.054271,115.0163241,122.1774053,95.60857847,120.8389514,118.0707462,99.29569848,105.2130439,107.0192813,107.4328509,85.16528887,99.47997388,118.2981982,100.7006773,90.48932706,99.9399686,86.50665242,98.43430489,98.01009555,96.40309776,102.1286508,92.87172291,103.832523,116.0837201,75.89027263,105.3849469,124.6252125,102.3296747,103.5246932,91.97346888,107.8269287,99.66236826,84.02869281,83.08303896,91.63289694
D10,110.3867664,86.24901699,105.4425542,123.3778537,105.860762,111.517181,103.3923133,98.45085406,94.70831234,87.27163841,96.59903021,107.4314643,102.7149142,83.04643825,117.7844966,111.4621767,87.31664801,113.9593806,107.8872047,97.37531669,77.87490532,73.32218273,82.95676807,82.57584219,96.61017404,96.80981607,129.5766557,104.181804,111.5683919,98.20685217,117.0289525,76.04974924,94.95293728,97.41526071,119.8727839,145.784579,107.3224856,138.2129659,168.9211295,137.9901443,170.9108132,106.1741703,131.8613255,138.8998474,133.5584496,123.3241558,159.581959,166.823753,160.4693423,150.8794651,122.0990412,151.7292094,93.35634856,132.2797082,124.9557435,140.3831266,113.4241,150.5802726,140.29606,116.422179,126.2520707,137.8467819,139.3448005,147.7948982,140.844395,130.8602477,139.4141879,129.0480094,110.5832571,166.2652507,123.1408427,134.000171,114.0386259,196.3043009,138.1341823
D13,57.81281593,74.51617761,86.04762255,117.9316065,133.3202113,98.54868986,98.17419262,116.2388678,110.4990397,76.43297633,119.4075742,77.73848758,68.46588032,98.78940608,87.47483103,87.61058636,98.40525586,109.4426399,101.0967353,118.7552908,92.62621247,76.12832002,79.52106892,83.26308372,122.0578068,122.2408186,140.0771657,94.43056457,106.3182426,146.627829,110.4152973,119.1177859,80.36713014,87.55769861,141.5415626,183.2029292,121.8144211,183.158797,156.3595979,179.3462715,248.2559513,108.7050342,117.7571881,107.4329605,147.7745987,129.6280471,170.5208311,228.1545085,180.1380137,179.6230347,159.4897514,169.2672854,162.7644192,162.9699668,135.819251,147.2773238,118.7449932,174.9354837,172.5841873,135.3558291,195.9624339,218.6783324,161.806838,190.7877385,147.0790465,161.1315912,183.9691357,153.5084254,181.0832849,160.0083375,188.4179432,188.193373,158.6464298,212.0210619,202.0443861
D16,90.177274,92.85426712,94.50931167,74.9334188,148.6362121,83.64391879,99.13276317,114.429242,81.48215099,72.13407076,105.290739,96.50989491,138.4158886,87.61829608,87.24997198,97.86094682,97.49739312,130.4196988,94.4247764,119.3523506,112.0266805,107.9657233,77.9808569,74.36319485,113.0631332,93.60661094,109.1092418,85.02268987,105.2737041,115.0155789,100.4253597,117.3010447,111.167706,141.9105786,131.8668355,167.8914228,109.0938219,192.5073004,225.103358,206.2612837,240.5845267,115.0611409,133.7438114,175.6207045,140.1895132,163.8204697,161.5214882,222.1149364,161.9889897,168.8374084,202.6302354,176.8597016,182.7365824,249.174848,220.4227289,212.2873632,156.676948,195.4979985,174.7984209,179.357155,274.9709359,237.6775465,190.7870972,212.0535783,211.3078728,221.9103799,232.5838351,173.6968643,169.9013675,118.4189798,195.3654719,156.3015459,147.4041287,218.06342,198.0991218
D19,77.8428367,94.47031547,99.71251623,114.6544768,118.6131871,85.76742103,103.4694679,107.944614,82.74170782,88.88689678,106.2288693,84.44967817,102.858278,92.73688097,109.4630071,86.25406749,141.9881761,81.80800944,76.84710097,98.15743259,106.1087801,70.37644435,73.19790204,101.722162,73.6919958,147.0956333,136.0060384,86.55523756,111.4297791,138.9210874,143.2924589,140.4172793,97.32432568,104.6108421,183.7114745,135.3769472,137.9694685,226.086024,199.0554391,166.4527406,179.3300746,103.7558322,82.54983202,86.60389968,141.0623391,125.8793139,104.1064624,169.6343897,150.4567851,118.1947299,101.0889083,115.5078001,108.2840723,105.1206643,71.21838279,121.5633832,114.7755501,134.0596341,116.85275,152.5217569,161.2759004,129.9813919,115.3058474,153.1154415,135.0337832,115.3297165,114.0717623,106.6412768,89.46167905,93.25806595,126.7800043,86.00863448,95.34952528,127.299703,122.2722726
